Date,Open,High,Low,Close,Adj Close,Volume
2021-09-21,0.380000,0.430000,0.365000,0.400000,0.400000,26983979
2021-09-22,0.400000,0.420000,0.385000,0.405000,0.405000,16138478
2021-09-23,0.445000,0.450000,0.415000,0.420000,0.420000,19986881
2021-09-24,0.435000,0.437500,0.415000,0.415000,0.415000,9855803
2021-09-27,0.420000,0.435000,0.405000,0.405000,0.405000,15120695
2021-09-28,0.415000,0.415000,0.390000,0.395000,0.395000,10002198
2021-09-29,0.385000,0.400000,0.377500,0.390000,0.390000,13471407
2021-09-30,0.410000,0.425000,0.395000,0.425000,0.425000,15825548
2021-10-01,0.420000,0.440000,0.410000,0.415000,0.415000,24857097
2021-10-04,0.430000,0.435000,0.415000,0.420000,0.420000,9597455
2021-10-05,0.420000,0.420000,0.385000,0.395000,0.395000,20693686
2021-10-06,0.405000,0.412500,0.390000,0.390000,0.390000,11492061
2021-10-07,0.400000,0.415000,0.390000,0.410000,0.410000,11001639
2021-10-08,0.420000,0.435000,0.405000,0.410000,0.410000,11870474
2021-10-11,0.420000,0.440000,0.410000,0.435000,0.435000,14886270
2021-10-12,0.440000,0.450000,0.415000,0.420000,0.420000,15251038
2021-10-13,0.430000,0.495000,0.430000,0.475000,0.475000,46925921
2021-10-14,0.490000,0.590000,0.490000,0.570000,0.570000,100047765
2021-10-15,0.585000,0.590000,0.520000,0.545000,0.545000,48487457
2021-10-18,0.555000,0.580000,0.540000,0.550000,0.550000,16821156
2021-10-19,0.570000,0.630000,0.545000,0.630000,0.630000,32689705
2021-10-20,0.645000,0.660000,0.590000,0.605000,0.605000,37667641
2021-10-21,0.610000,0.630000,0.570000,0.575000,0.575000,34386416
2021-10-22,0.580000,0.637500,0.580000,0.625000,0.625000,31676103
2021-10-25,0.625000,0.630000,0.565000,0.570000,0.570000,47295257
2021-10-26,0.600000,0.605000,0.575000,0.575000,0.575000,31060791
2021-10-27,0.585000,0.590000,0.560000,0.570000,0.570000,16322457
2021-10-28,0.580000,0.580000,0.560000,0.570000,0.570000,12336957
2021-10-29,0.580000,0.600000,0.570000,0.570000,0.570000,18714917
2021-11-01,0.575000,0.600000,0.555000,0.565000,0.565000,23918172
2021-11-02,0.590000,0.615000,0.570000,0.575000,0.575000,31872538
2021-11-03,0.580000,0.590000,0.570000,0.575000,0.575000,14236686
2021-11-04,0.585000,0.612500,0.580000,0.605000,0.605000,31845208
