Date,Open,High,Low,Close,Adj Close,Volume
2021-12-29,229.380005,234.000000,228.660004,233.580002,232.076111,1582500
2021-12-30,234.750000,237.550003,233.750000,235.830002,234.311630,1312400
2021-12-31,236.520004,239.000000,235.399994,235.830002,234.311630,1714700
2022-01-03,234.320007,236.470001,232.360001,235.479996,234.381287,1499100
2022-01-04,233.440002,235.910004,233.009995,233.699997,232.609589,1348500
2022-01-05,233.970001,237.000000,232.679993,233.800003,232.709122,1829500
2022-01-06,226.690002,236.500000,226.690002,235.800003,234.699814,3011800
2022-01-07,235.550003,240.139999,234.649994,238.270004,237.158279,2315700
2022-01-10,238.270004,239.750000,234.699997,236.309998,235.207428,2460900
2022-01-11,235.970001,237.000000,227.529999,228.649994,227.583160,2644400
2022-01-12,229.250000,229.389999,227.020004,228.600006,227.533401,1324600
2022-01-13,228.160004,228.990005,222.729996,223.059998,222.019241,1940200
2022-01-14,218.990005,219.710007,213.449997,217.080002,216.067154,4141900
2022-01-18,212.789993,216.300003,208.399994,213.110001,212.115662,2700700
2022-01-19,214.509995,221.229996,213.940002,219.940002,218.913803,2327600
2022-01-20,221.660004,222.380005,211.270004,212.100006,211.110382,3147500
2022-01-21,211.669998,214.869995,210.160004,210.179993,209.199326,2060100
2022-01-24,208.449997,216.919998,208.020004,216.580002,215.569473,2468400
2022-01-25,215.309998,215.350006,209.179993,212.009995,211.020782,2283200
2022-01-26,212.630005,214.360001,203.169998,204.710007,203.754852,2327700
2022-01-27,205.000000,209.169998,204.979996,205.339996,204.381912,2232300
2022-01-28,205.160004,205.160004,200.740005,204.330002,203.376633,2080400
2022-01-31,204.509995,209.139999,204.389999,208.479996,207.507263,2901900
2022-02-01,208.419998,209.929993,205.419998,209.119995,208.144287,1705400
2022-02-02,208.490005,210.240005,206.539993,206.690002,205.725632,2020300
2022-02-03,205.539993,207.660004,205.070007,205.369995,204.411774,1850700
2022-02-04,205.750000,205.750000,200.470001,202.360001,201.415833,2006000
2022-02-07,202.539993,203.410004,200.240005,200.589996,199.654068,1622000
2022-02-08,200.880005,204.410004,199.509995,202.770004,201.823914,2913500
2022-02-09,203.820007,206.289993,203.369995,205.789993,204.829819,2354100
2022-02-10,203.110001,205.500000,200.960007,202.100006,201.157043,1854200
2022-02-11,202.630005,203.199997,200.369995,200.630005,199.693909,1212000
2022-02-14,200.850006,201.399994,199.220001,200.610001,199.673996,1442400
2022-02-15,201.300003,201.589996,198.250000,199.149994,198.220795,1721700
2022-02-16,198.220001,199.119995,194.320007,197.350006,196.429199,2661500
2022-02-17,196.710007,198.729996,196.000000,197.119995,196.200272,1853300
2022-02-18,196.960007,201.600006,196.759995,199.970001,199.036987,3468300
2022-02-22,198.470001,199.330002,191.289993,191.940002,191.044449,2167700
2022-02-23,192.279999,192.990005,188.059998,188.339996,187.461243,1654100
2022-02-24,185.149994,191.289993,185.149994,190.800003,189.909760,2083100
2022-02-25,195.809998,199.429993,192.270004,198.990005,198.061539,2561500
2022-02-28,197.910004,199.639999,195.630005,198.339996,197.414581,1569700
2022-03-01,199.500000,204.679993,199.429993,201.050003,200.111938,2408700
2022-03-02,199.899994,206.679993,199.669998,205.410004,204.451599,1696900
2022-03-03,206.440002,208.520004,205.000000,206.289993,205.327469,1793100
2022-03-04,206.000000,211.110001,205.100006,210.979996,209.995605,2365800
2022-03-07,211.009995,213.630005,203.580002,203.720001,202.769485,2112100
2022-03-08,203.149994,205.350006,198.669998,199.259995,198.330292,2363800
2022-03-09,203.179993,208.929993,201.529999,207.220001,206.253159,1508800
2022-03-10,205.000000,206.820007,202.490005,206.080002,205.118469,1174200
2022-03-11,206.460007,208.839996,205.179993,205.550003,204.590942,2362600
2022-03-14,206.720001,210.759995,205.350006,208.690002,207.716293,1454400
2022-03-15,209.410004,215.279999,209.410004,214.250000,213.250336,2793300
2022-03-16,214.250000,215.789993,210.789993,212.490005,211.498566,2584800
2022-03-17,220.139999,222.399994,212.639999,221.940002,220.904465,4386400
2022-03-18,222.210007,230.009995,221.050003,229.630005,228.558594,3100000
2022-03-21,228.750000,232.770004,226.750000,228.399994,227.334320,1879000
2022-03-22,229.429993,229.839996,224.990005,226.059998,225.005234,1798600
2022-03-23,225.369995,225.990005,219.820007,221.550003,220.516281,1819600
2022-03-24,222.139999,222.869995,218.929993,220.899994,219.869308,1541300
